time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cidade,estado,regiao,latitude,longitude
2025-02-19,25.3,31.4,20.6,9.7,13.1,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-02-20,25.0,30.7,20.8,5.2,15.7,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-02-21,25.5,32.4,21.7,6.7,12.3,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-02-22,24.6,30.2,21.4,2.3,12.6,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-02-23,24.6,31.0,19.9,0.8,13.4,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-02-24,26.2,33.2,21.2,0.5,14.6,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-02-25,27.2,33.3,22.2,0.0,16.1,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-02-26,27.5,33.7,22.1,0.0,13.9,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-02-27,27.6,33.6,22.4,0.0,13.9,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-02-28,27.2,33.6,22.0,0.1,12.1,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-01,27.2,34.0,22.2,0.2,17.8,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-02,27.2,33.4,22.2,0.0,15.7,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-03,26.2,32.7,20.7,1.3,16.0,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-04,25.9,32.0,21.5,0.2,16.5,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-05,25.5,30.9,21.2,1.7,13.6,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-06,25.7,33.1,21.0,0.0,18.2,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-07,25.9,34.5,20.5,0.0,18.3,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-08,26.0,32.6,20.8,0.6,15.1,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-09,26.7,33.8,19.5,0.0,13.3,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-10,24.5,32.0,21.0,1.5,17.8,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-11,23.9,29.9,20.6,20.5,12.5,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-12,24.0,30.1,20.3,4.4,11.4,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-13,23.4,29.6,20.2,2.7,11.8,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-14,23.9,29.4,20.2,1.4,11.9,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-15,23.8,30.1,20.0,1.6,15.3,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-16,22.9,27.2,20.4,1.0,17.9,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-17,23.5,30.1,18.9,1.8,11.3,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-18,23.8,31.6,18.7,4.5,10.1,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-19,22.3,26.6,19.0,1.8,15.7,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-20,21.8,29.0,16.9,0.0,17.4,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-21,22.6,31.2,16.7,0.0,16.4,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-22,24.7,32.7,18.6,0.0,13.9,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-23,23.4,29.6,20.1,5.5,12.6,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-24,23.0,28.2,19.2,2.6,10.1,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-25,24.2,31.1,19.4,0.2,14.1,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-26,22.5,26.3,19.8,0.9,16.0,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-27,23.9,30.5,18.3,0.5,15.3,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-28,24.3,31.4,20.1,3.2,13.6,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-29,24.5,30.3,19.6,1.6,11.8,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-30,24.5,31.3,19.3,0.2,14.1,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-03-31,23.2,28.2,20.4,16.2,12.2,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-01,21.1,27.6,16.9,4.0,11.2,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-02,21.4,28.1,17.3,12.3,15.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-03,22.8,27.9,18.1,0.0,15.0,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-04,22.2,27.8,17.7,1.2,14.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-05,20.3,26.9,16.9,2.4,15.3,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-06,20.3,26.1,17.3,3.1,13.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-07,19.4,24.3,17.3,2.6,14.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-08,18.9,23.3,17.0,11.3,14.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-09,18.6,22.2,16.0,2.6,15.0,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-10,18.8,25.2,14.7,0.8,13.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-11,18.6,23.1,15.7,20.4,14.9,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-12,17.5,21.2,15.2,2.9,16.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-13,18.2,24.2,14.7,0.4,15.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-14,18.4,25.3,13.3,0.0,15.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-15,19.0,24.4,13.5,0.5,15.3,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-16,20.4,24.0,18.0,13.2,16.2,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-17,21.2,24.7,18.9,11.4,18.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-18,22.7,27.5,20.0,7.3,20.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-19,22.4,26.1,20.6,11.5,14.3,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-20,23.3,27.6,20.7,1.1,24.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-21,23.0,27.0,20.4,3.7,21.0,Curitiba,PR,Sul,-25.4284,-49.2733
