time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cidade,estado,regiao,latitude,longitude
2025-03-19,27.9,30.7,25.4,0.4,13.6,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-20,28.4,31.5,25.4,0.1,13.5,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-21,28.5,31.5,26.4,0.6,13.1,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-22,28.1,31.4,25.2,0.8,14.4,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-23,28.3,31.2,25.5,0.2,13.3,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-24,27.8,31.3,24.8,1.3,14.5,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-25,27.5,30.3,24.7,1.5,14.9,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-26,28.5,31.7,25.7,0.2,14.0,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-27,26.6,29.2,24.3,3.4,13.8,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-28,26.4,28.7,24.3,2.8,13.5,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-29,27.8,30.6,25.3,1.2,13.4,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-30,27.4,30.4,24.3,2.3,16.3,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-31,28.2,30.9,26.5,1.9,17.2,Recife,PE,Nordeste,-8.0476,-34.877
